model_name,eff_method,train_ratio,hyperparam_1,hyperparam_2
gpt2,adapter,0.07404360979749978,2,0
gpt2,adapter,0.4867233538156347,16,0
gpt2,adapter,0.9832748366698933,33,0
gpt2,lora,0.08879297055649761,3,16
gpt2,lora,0.4717473694555863,16,16
gpt2,lora,0.9971710160512761,34,16
gpt2,prefix,0.08263509637062379,4,10
gpt2,prefix,0.496831346130822,31,10
gpt2,prefix,0.9833055638182319,63,10
gpt2-medium,adapter,0.09691430667888822,3,0
gpt2-medium,adapter,0.5101711669621483,18,0
gpt2-medium,adapter,1.0015886924099002,36,0
gpt2-medium,lora,0.08304618001989648,3,16
gpt2-medium,lora,0.49621663531810417,18,16
gpt2-medium,lora,0.9875329677708786,36,16
gpt2-medium,prefix,0.10148384600909328,6,10
gpt2-medium,prefix,0.4950831599547196,34,10
gpt2-medium,prefix,1.024319135851219,72,10
gpt2-xl,adapter,0.08869719923178357,4,0
gpt2-xl,adapter,0.5005598400252657,25,0
gpt2-xl,adapter,1.0058043026849168,51,0
gpt2-xl,lora,0.09851539354334216,5,16
gpt2-xl,lora,0.49064353009842515,25,16
gpt2-xl,lora,0.9958313798752974,51,16
gpt2-xl,prefix,0.08057177637453503,7,10
gpt2-xl,prefix,0.40778040334354304,40,10
gpt2-xl,prefix,0.8211411782552944,82,10
gpt2-large,adapter,0.10708104762093945,4,0
gpt2-large,adapter,0.4859798165639612,20,0
gpt2-large,adapter,1.0022966779258067,42,0
gpt2-large,lora,0.09516146885692242,4,16
gpt2-large,lora,0.4975852962228603,21,16
gpt2-large,lora,0.9902432874505329,42,16
gpt2-large,prefix,0.0979682049668206,7,10
gpt2-large,prefix,0.4939882963880413,40,10
gpt2-large,prefix,0.9934957531352229,82,10
EleutherAI/gpt-neo-2.7B,adapter,0.08028467751276014,6,0
EleutherAI/gpt-neo-2.7B,adapter,0.48590934017831194,39,0
EleutherAI/gpt-neo-2.7B,adapter,0.9853026798970911,80,0
EleutherAI/gpt-neo-2.7B,lora,0.09876971897892944,8,16
EleutherAI/gpt-neo-2.7B,lora,0.4919051814332695,40,16
EleutherAI/gpt-neo-2.7B,lora,0.978994637518631,80,16
EleutherAI/gpt-neo-2.7B,prefix,0.08239145021064703,12,10
EleutherAI/gpt-neo-2.7B,prefix,0.481802737290756,76,10
EleutherAI/gpt-neo-2.7B,prefix,0.7545507575940316,120,10
EleutherAI/gpt-j-6B,adapter,0.09019763125629095,11,0
EleutherAI/gpt-j-6B,adapter,0.48825358213165326,62,0
EleutherAI/gpt-j-6B,adapter,0.9987006050833384,128,0
EleutherAI/gpt-j-6B,lora,0.09410090922202914,12,16
EleutherAI/gpt-j-6B,lora,0.49983334239839117,64,16
EleutherAI/gpt-j-6B,lora,0.9946948681904407,128,16
EleutherAI/gpt-j-6B,prefix,0.08445057481400899,20,10
EleutherAI/gpt-j-6B,prefix,0.481672605998213,120,10
EleutherAI/gpt-j-6B,prefix,1.0168532668799641,256,10
gpt2,adapter,0.10363421034835467,3,0
